entry_ts_utc,exit_ts_utc,symbol,side,entry_price,exit_price,qty,entry_atr_abs,stop_k,risk_usdt_planned,pnl_quote_expost,fees_quote_actual,R_atr_expost,R_usd_expost,order_errors,signals_emitted
2024-01-01T21:00:00,2024-01-01T22:46:00,TEST01/USDT,short,109.05799,109.50216,1.00477,1.23273,2.41205,298.76007,-44.62948,0.50303,-0.14938,-0.14938,0,1
2024-01-01T22:00:00,2024-01-02T00:09:00,TEST02/USDT,long,109.84751,108.70912,1.51263,1.71334,2.59889,673.54275,-172.19626,1.81935,-0.25566,-0.25566,0,1
2024-01-01T23:00:00,2024-01-02T02:15:00,TEST03/USDT,long,103.23323,105.55743,1.39743,1.29893,2.07557,376.7499,324.79152,3.33406,0.86209,0.86209,0,1
2024-01-02T00:00:00,2024-01-02T01:08:00,TEST04/USDT,long,106.62225,106.23983,1.27951,1.12263,2.14341,307.88197,-48.9318,0.58587,-0.15893,-0.15893,0,1
2024-01-02T01:00:00,2024-01-02T04:16:00,TEST00/USDT,short,109.43653,108.3135,0.81115,1.40059,2.11512,240.29636,91.09475,1.0626,0.37909,0.37909,0,1
2024-01-02T02:00:00,2024-01-02T03:08:00,TEST01/USDT,short,100.1266,101.33283,0.95982,1.55541,2.46489,367.98747,-115.777,1.31862,-0.31462,-0.31462,0,1
2024-01-02T03:00:00,2024-01-02T04:10:00,TEST02/USDT,short,92.47508,89.65756,1.04076,1.74205,2.31806,420.2773,293.23526,3.1257,0.69772,0.69772,0,1
2024-01-02T04:00:00,2024-01-02T05:40:00,TEST03/USDT,short,108.49617,107.53844,1.30718,1.01989,2.44416,325.84952,125.19261,1.36479,0.3842,0.3842,0,1
2024-01-02T05:00:00,2024-01-02T08:53:00,TEST04/USDT,long,101.92085,101.43448,1.17391,1.74642,2.64349,541.94955,-57.09495,0.63732,-0.10535,-0.10535,0,1
2024-01-02T06:00:00,2024-01-02T09:26:00,TEST00/USDT,long,105.93634,105.12842,1.28481,1.18611,2.42462,369.49506,-103.80304,1.14992,-0.28093,-0.28093,0,1
2024-01-02T07:00:00,2024-01-02T08:57:00,TEST01/USDT,long,98.51764,100.3294,1.16312,1.52154,2.69399,476.76539,210.72907,2.26919,0.442,0.442,0,1
2024-01-02T08:00:00,2024-01-02T11:24:00,TEST02/USDT,short,92.10556,92.60904,0.91694,1.05325,2.47555,239.07914,-46.16628,0.53324,-0.1931,-0.1931,0,1
2024-01-02T09:00:00,2024-01-02T12:44:00,TEST03/USDT,short,93.31063,92.44207,0.89239,1.22778,2.12289,232.59614,77.5097,0.85129,0.33324,0.33324,0,1
2024-01-02T10:00:00,2024-01-02T10:55:00,TEST04/USDT,short,101.82288,98.87305,1.05439,1.54457,2.3149,377.00193,311.02771,3.28795,0.825,0.825,0,1
2024-01-02T11:00:00,2024-01-02T11:53:00,TEST00/USDT,short,93.62997,92.76783,1.25699,1.1894,2.19951,328.83866,108.36959,1.18974,0.32955,0.32955,0,1
2024-01-02T12:00:00,2024-01-02T14:27:00,TEST01/USDT,short,92.03344,89.29027,1.53987,1.66677,2.04157,523.99128,422.41294,4.40953,0.80614,0.80614,0,1
2024-01-02T13:00:00,2024-01-02T16:56:00,TEST02/USDT,long,106.04052,108.57785,1.4232,1.62358,2.51399,580.90116,361.11187,3.73825,0.62164,0.62164,0,1
2024-01-02T14:00:00,2024-01-02T17:32:00,TEST03/USDT,short,99.25599,97.32835,1.01317,1.30807,2.51165,332.86899,195.30302,2.06556,0.58673,0.58673,0,1
2024-01-02T15:00:00,2024-01-02T16:30:00,TEST04/USDT,short,97.35024,95.95171,1.10357,1.29311,2.262,322.79671,154.33746,1.7357,0.47813,0.47813,0,1
2024-01-02T16:00:00,2024-01-02T19:43:00,TEST00/USDT,short,99.61821,97.21846,1.47885,1.26269,2.42835,453.45159,354.88713,3.67878,0.78264,0.78264,0,1
2024-01-02T17:00:00,2024-01-02T19:48:00,TEST01/USDT,short,95.76311,96.24246,1.35584,1.58791,2.16192,465.45258,-64.99154,0.79207,-0.13963,-0.13963,0,1
2024-01-02T18:00:00,2024-01-02T19:03:00,TEST02/USDT,short,104.51431,105.51284,0.90993,1.06759,2.74875,267.02267,-90.85854,1.04764,-0.34027,-0.34027,0,1
2024-01-02T19:00:00,2024-01-02T22:17:00,TEST03/USDT,long,105.9023,108.49387,1.27206,1.75682,2.20271,492.25732,329.66444,3.37234,0.6697,0.6697,0,1
2024-01-02T20:00:00,2024-01-02T22:35:00,TEST04/USDT,long,101.44861,100.62654,1.41114,1.37279,2.41811,468.43404,-116.0058,1.3,-0.24765,-0.24765,0,1
2024-01-02T21:00:00,2024-01-03T00:46:00,TEST00/USDT,long,92.39467,94.12579,1.32629,1.09368,2.07017,300.28631,229.59676,2.44665,0.76459,0.76459,0,1
2024-01-02T22:00:00,2024-01-02T23:50:00,TEST01/USDT,short,107.96733,106.55932,1.09135,1.61003,2.21643,389.45019,153.66419,1.60881,0.39457,0.39457,0,1
2024-01-02T23:00:00,2024-01-03T02:47:00,TEST02/USDT,long,98.75808,97.63017,1.24239,1.30666,2.58375,419.44109,-140.13126,1.52322,-0.33409,-0.33409,0,1
2024-01-03T00:00:00,2024-01-03T01:58:00,TEST03/USDT,long,109.73263,108.46732,0.89478,1.57421,2.76096,388.90119,-113.21776,1.20047,-0.29112,-0.29112,0,1
2024-01-03T01:00:00,2024-01-03T03:39:00,TEST04/USDT,long,103.72193,105.0946,1.46032,1.00984,2.36345,348.53679,200.45357,2.12088,0.57513,0.57513,0,1
